"community_name","business_district","all_num_business_district","all_num_community","business_district_average_price","community_average_price","community_sales_num","exbination_and_adjustment_ave_exhibition_period","price_adjustment_num","price_adjustment_average"
"景江苑D区","江月路",33,1,1835.15151515152,1490,1,4.02634191650483,1,340
"漕泾一村","漕宝路",101,1,3740.38613861386,3830,1,1.00726932951422,1,3671
"新风小区","娄山关路",73,4,4819.02739726027,4582.5,2,9.00124842604967,2,400
"南园小区","鲁班路",87,3,4453.51724137931,5613.33333333333,1,6.00443293836014,1,170
"永康城永锦苑","汇臻路",69,3,1555.65217391304,1516.66666666667,2,5.00147395965954,1,100
"蒋家桥小区","四平路",16,1,3814.375,5360,1,6.00335569845857,1,1030
"真北一街坊","上海西站",200,4,2731.77,3217.5,3,4.24898684798636,1,300
"珠江香樟南园","隆昌路",28,5,3592.14285714286,2850,3,1.40104409909028,1,70
"锦绣满堂花园","世纪公园",92,8,2701.47826086957,2567.5,4,0.875870586261153,1,540
"漕溪大楼","上海体育馆",69,15,5249.39130434783,4868,2,1.66729436621217,1,670
"宛南六村","上海游泳馆",24,4,3487.04166666667,5532.5,2,4.00098757200633,1,230
"明珠花苑(浦东)","长清路",51,9,3602.54901960784,2440,3,2.00015372366142,2,385
"水岸蓝桥(公寓)","大华三路",158,21,3002.58860759494,2937.14285714286,2,0.42927832488805,1,690
"汇智湖畔家园","金科路",37,6,3319.94594594595,3315,2,3.83619272040456,1,200
"盛世春晓苑","民雷路",21,2,1962.38095238095,3390,1,10.5087954077787,1,740
"华宝花园","七宝",165,2,2667.92121212121,4030,1,9.51319158987315,1,400
"穗园小区","华师",136,24,1928.38235294118,1945.83333333333,6,1.87557363321648,2,135
"前程里(河西区)","南楼",19,5,1711.57894736842,1602,3,9.58959137387353,2,130
"龙海公寓","下瓦房",42,8,1661.42857142857,1526.25,5,6.86527905696624,1,100
"石桥花园四期","石桥",72,16,1119.30555555556,1174.375,2,1.4387357505968,1,30
"天明居","",17337,1,2055.19659648111,7230,1,21.0013934297087,1,400
"恒立听海花园","",17337,7,2055.19659648111,3177.14285714286,1,2.28524565886095,1,300
"新洲苑","沙尾",143,3,2759.41958041958,1826.66666666667,1,3.66932996017422,1,200
"源兴居","洪湖",75,11,2979.41333333333,2753.63636363636,1,0.817743548802806,1,130
"菁英趣庭","",17337,21,2055.19659648111,2796.09523809524,5,1.14323152195892,2,1855.5
"文华花园","",17337,9,2055.19659648111,2382.11111111111,4,4.44369247521975,1,70
"福民新村","皇岗口岸",66,23,3540.40909090909,1737.30434782609,6,1.82451171511733,1,230
"港湾花园","",17337,4,2055.19659648111,1962.5,1,1.25317282868618,1,2561
"学子荔园","",17337,9,2055.19659648111,2834.44444444444,2,3.2229736302701,1,130
"合正佳园","",17337,3,2055.19659648111,4303.33333333333,1,1.34183918624564,1,300
"软件园小区","知春路",218,6,4508.22935779817,4841.66666666667,2,3.48463428531808,1,670
"延静里","金台路",271,10,4431.0184501845,4796,3,5.21192104149748,1,240
"新外大街6号院","牡丹园",161,10,4504.23602484472,5879,3,2.20287508267689,2,385
