"community_name" "community_other_price" "community_other_num" "community_other_floor" "community_other_area" "community_average_price" "community_average_area" "community_average_floor" "community_average_AreaPrice" "business_district" "business_district_sales_num" "business_district_other_price" "business_district_other_num" "business_district_other_floor" "business_district_other_area" "business_district_average_price" "business_district_average_area" "business_district_average_floor" "business_district_average_AreaPrice"
"159" "新州花苑" 2630 1 29 17 2630 17 29 154.705882352941 "滨和路" 117 251520 117 2387 1495.69 2149.74358974359 12.7836752136752 20.4017094017094 168.163188896095
"160" "宁工新寓一村" 990 1 7 6 990 6 7 165 "龙江站" 68 113760 68 1307 871.68 1672.94117647059 12.8188235294118 19.2205882352941 130.506607929515
"161" "秦湾景园" 42430 36 648 342.6 1178.61111111111 9.51666666666667 18 123.847051955633 "双龙大道" 85 102530 85 973 944.6 1206.23529411765 11.1129411764706 11.4470588235294 108.543298750794
"162" "龙翔雅苑" 1560 1 7 14.09 1560 14.09 7 110.716820440028 "卡子门" 48 80910 48 425 638.45 1685.625 13.3010416666667 8.85416666666667 126.728796303548
"163" "梅花山庄丽景苑" 1390 1 7 6.2 1390 6.2 7 224.193548387097 "苜蓿园" 16 24720 16 105 195.72 1545 12.2325 6.5625 126.302881667689
"164" "托乐嘉睦邻居" 29100 19 209 263.7 1531.57894736842 13.8789473684211 11 110.352673492605 "" 5904 10076530 5904 115186 68278.74 1706.72933604336 11.5648272357724 19.5098238482385 147.57931971211
"165" "银城东苑望山苑" 6260 4 58 54.1 1565 13.525 14.5 115.711645101664 "下马坊" 20 30470 20 216 244.71 1523.5 12.2355 10.8 124.514731723264
"166" "雍福龙庭" 4070 3 55 33.4 1356.66666666667 11.1333333333333 18.3333333333333 121.85628742515 "" 5904 10076530 5904 115186 68278.74 1706.72933604336 11.5648272357724 19.5098238482385 147.57931971211
"167" "绿国万象都荟" 35560 15 165 222.5 2370.66666666667 14.8333333333333 11 159.820224719101 "卡子门" 48 80910 48 425 638.45 1685.625 13.3010416666667 8.85416666666667 126.728796303548
"168" "世茂招商语山" 12690 9 54 100.2 1410 11.1333333333333 6 126.646706586826 "金马路" 18 24220 18 186 197.2 1345.55555555556 10.9555555555556 10.3333333333333 122.819472616633
"169" "钟山花园城博雅居" 4370 3 18 32.5 1456.66666666667 10.8333333333333 6 134.461538461538 "下马坊" 20 30470 20 216 244.71 1523.5 12.2355 10.8 124.514731723264
"170" "金浦御龙湾" 56540 44 571 518.2 1285 11.7772727272727 12.9772727272727 109.108452335006 "迈皋桥" 131 176710 131 2157 1558.45 1348.93129770992 11.8965648854962 16.4656488549618 113.388302480028
"171" "大地豪庭" 2030 1 11 16.4 2030 16.4 11 123.780487804878 "明故宫" 38 62880 38 264 471.79 1654.73684210526 12.4155263157895 6.94736842105263 133.279637126688
